fips_county,fast_food,grocery
13077,92.0,23.0
13079,3.0,
13081,23.0,9.0
13083,12.0,4.0
13085,35.0,5.0
13087,24.0,6.0
13089,670.0,142.0
13091,11.0,3.0
13093,10.0,
13095,102.0,10.0
13097,118.0,20.0
13099,8.0,4.0
13103,29.0,3.0
13105,14.0,4.0
13107,15.0,
13109,9.0,3.0
13111,20.0,5.0
13113,113.0,17.0
13115,82.0,14.0
13117,168.0,34.0
13119,22.0,4.0
13121,1209.0,176.0
13123,21.0,5.0
13127,94.0,17.0
13129,40.0,11.0
13131,15.0,3.0
13133,9.0,6.0
13135,907.0,153.0
13137,31.0,6.0
13139,139.0,35.0
13141,4.0,
13143,18.0,4.0
13145,11.0,5.0
13147,15.0,3.0
13149,3.0,
13151,185.0,26.0
13153,160.0,18.0
13157,39.0,6.0
13159,7.0,
13161,12.0,
13163,11.0,5.0
13165,8.0,
13167,5.0,
13169,8.0,
13171,10.0,
13173,5.0,3.0
13175,44.0,4.0
13177,17.0,
13179,62.0,7.0
13181,3.0,
13183,4.0,
13185,102.0,17.0
13187,21.0,3.0
13189,23.0,3.0
13191,12.0,
13193,7.0,3.0
13195,11.0,3.0
13197,4.0,
13199,9.0,7.0
13205,15.0,5.0
13207,18.0,4.0
13209,3.0,
13211,20.0,
13213,27.0,5.0
13215,233.0,35.0
13217,73.0,17.0
13219,37.0,6.0
13221,4.0,
13223,74.0,11.0
13225,26.0,5.0
13227,22.0,4.0
13229,14.0,
13231,6.0,
13233,34.0,7.0
13235,11.0,
13237,9.0,3.0
13241,13.0,3.0
13243,4.0,
13245,177.0,27.0
13247,90.0,16.0
13251,6.0,3.0
13253,3.0,
13255,58.0,9.0
13257,17.0,6.0
13261,24.0,6.0
13267,13.0,4.0
13269,4.0,
13271,8.0,4.0
13273,5.0,5.0
13275,38.0,5.0
13277,45.0,9.0
13279,28.0,4.0
13281,10.0,3.0
13283,,3.0
13285,60.0,13.0
13287,8.0,3.0
13291,17.0,3.0
13293,20.0,7.0
13295,23.0,6.0
13297,57.0,10.0
13299,37.0,4.0
13303,13.0,
13305,24.0,3.0
13311,22.0,4.0
13313,81.0,24.0
13317,5.0,3.0
13319,,3.0
13321,9.0,
15001,161.0,42.0
15003,1007.0,169.0
15007,87.0,21.0
15009,132.0,50.0
16001,367.0,48.0
16005,61.0,11.0
16007,4.0,
16009,5.0,3.0
16011,21.0,6.0
16013,24.0,6.0
16017,27.0,10.0
16019,80.0,12.0
16021,6.0,3.0
16027,121.0,20.0
16029,,3.0
16031,24.0,4.0
16035,3.0,4.0
16037,5.0,5.0
16039,12.0,3.0
16041,8.0,
16043,7.0,
16045,11.0,
16047,6.0,4.0
16049,9.0,7.0
16051,11.0,
16053,12.0,
16055,115.0,21.0
16057,31.0,9.0
16059,3.0,4.0
16061,,4.0
16063,,4.0
16065,36.0,
16067,4.0,
16069,27.0,7.0
16071,4.0,
16073,6.0,3.0
16075,8.0,5.0
16077,3.0,
16079,6.0,5.0
16081,3.0,3.0
16083,72.0,16.0
