County,meanPovertyRate,meanFamilyIncome,percentLowFoodAccess
Coos County,14.679166666666667,59168.291666666664,25.0
Coosa County,14.0,46510.666666666664,33.33333333333333
Copiah County,24.05,52488.333333333336,83.33333333333334
Corson County,43.9,39980.5,50.0
Cortland County,17.275000000000002,67868.72727272728,0.0
Coryell County,17.373684210526317,58080.35294117647,36.84210526315789
Coshocton County,16.52,54092.8,20.0
Costilla County,30.049999999999997,33955.0,100.0
Cottle County,31.4,40469.0,100.0
Cotton County,17.25,58018.0,0.0
Cottonwood County,12.125,66134.75,25.0
Covington County,20.933333333333334,52379.0,16.666666666666664
Covington city,14.6,54349.5,50.0
Coweta County,9.85,82578.0,15.0
Cowley County,15.781818181818181,58127.27272727273,27.27272727272727
Cowlitz County,18.087500000000002,59661.0,16.666666666666664
Craig County,16.383333333333333,55056.5,33.33333333333333
Craighead County,20.170588235294115,56062.705882352944,17.647058823529413
Crane County,7.6,77440.0,0.0
Craven County,15.604761904761904,59617.95238095238,9.523809523809524
Crawford County,15.606521739130434,58065.739130434784,17.391304347826086
Creek County,15.128571428571428,59077.42857142857,9.523809523809524
Crenshaw County,16.150000000000002,54212.166666666664,33.33333333333333
Crisp County,27.933333333333334,43343.333333333336,16.666666666666664
Crittenden County,22.6875,51658.375,20.833333333333336
Crockett County,19.666666666666668,55363.0,16.666666666666664
Crook County,11.566666666666665,64072.333333333336,33.33333333333333
Crosby County,21.233333333333334,44767.666666666664,0.0
Cross County,17.3,52340.0,33.33333333333333
Crow Wing County,10.38125,66429.0,12.5
Crowley County,28.4,53750.0,0.0
Culberson County,31.4,39531.0,0.0
Cullman County,15.988888888888889,53786.27777777778,5.555555555555555
Culpeper County,8.399999999999999,82309.25,37.5
Cumberland County,14.180508474576271,71273.95652173914,17.796610169491526
Cuming County,6.433333333333334,69898.66666666667,0.0
Currituck County,10.571428571428571,71510.14285714286,0.0
Curry County,19.16470588235294,53982.882352941175,35.294117647058826
Custer County,13.736842105263158,64191.89473684211,36.84210526315789
Cuyahoga County,21.992117117117118,64477.94724770642,5.63063063063063
Dade County,17.733333333333334,55547.833333333336,16.666666666666664
Daggett County,4.7,96333.0,0.0
Dakota County,7.0464646464646465,99133.73737373737,6.0606060606060606
Dale County,18.057142857142857,56551.71428571428,7.142857142857142
Dallam County,12.7,69293.5,0.0
Dallas County,16.632978723404257,75877.28469750889,17.5531914893617
Dane County,13.456190476190477,93061.54455445544,8.571428571428571
Daniels County,4.2,70500.0,0.0
Danville city,20.8875,46321.6,25.0
Dare County,8.100000000000001,70097.11111111111,0.0
Darke County,10.391666666666667,62797.25,8.333333333333332
Darlington County,23.16875,50212.625,31.25
